route_name,sequence,designator,longitude_dd,latitude_dd,longitude_ddm,latitude_ddm,description
01_BRAVO_TO_ALPHA,1,BRAVO,-75.19033329561353,-70.8301666751504,75° 11.419998' W,70° 49.810001' S,
01_BRAVO_TO_ALPHA,2,ALPHA,-75.01463335007429,-69.91516669280827,75° 0.878001' W,69° 54.910002' S,Foo | There’s unlimited juice?
02_BRAVO_TO_BRAVO,1,BRAVO,-75.19033329561353,-70.8301666751504,75° 11.419998' W,70° 49.810001' S,
02_BRAVO_TO_BRAVO,2,CHARLE,-71.49899996817112,-71.76016665995121,71° 29.939998' W,71° 45.610000' S,N/A | You’re loosing a lot of blood aren’t you?
02_BRAVO_TO_BRAVO,3,DELTA,-66.09375,-72.7509999834001,66° 5.625000' W,72° 45.059999' S,N/A | How about a turtle?
02_BRAVO_TO_BRAVO,4,ECHO,-61.611166689544916,-73.45333331264555,61° 36.670001' W,73° 27.199999' S,N/A | I don’t criticise you!
02_BRAVO_TO_BRAVO,5,HOTEL,-65.43449998833239,-74.42566668614745,65° 26.069999' W,74° 25.540001' S,N/A | I don’t know how I know that. I took four years of Spanish.
02_BRAVO_TO_BRAVO,6,GOLF,-70.3125,-74.20000003650784,70° 18.750000' W,74° 12.000002' S,N/A | I’ve always been deeply passionate about nature🌳.
02_BRAVO_TO_BRAVO,7,FOXTRT,-70.22449999116361,-73.17583330906928,70° 13.469999' W,73° 10.549999' S,"N/A | Did Ted make an appointment? No. Well, then Ted can GET THE HELL OUT OF THIS OFFICE! YOU GET THE HELL OUT!"
02_BRAVO_TO_BRAVO,8,CHARLE,-71.49899996817112,-71.76016665995121,71° 29.939998' W,71° 45.610000' S,N/A | You’re loosing a lot of blood aren’t you?
02_BRAVO_TO_BRAVO,9,BRAVO,-75.19033329561353,-70.8301666751504,75° 11.419998' W,70° 49.810001' S,
03_BRAVO_TO_LIMA,1,BRAVO,-75.19033329561353,-70.8301666751504,75° 11.419998' W,70° 49.810001' S,
03_BRAVO_TO_LIMA,2,CHARLE,-71.49899996817112,-71.76016665995121,71° 29.939998' W,71° 45.610000' S,N/A | You’re loosing a lot of blood aren’t you?
03_BRAVO_TO_LIMA,3,DELTA,-66.09375,-72.7509999834001,66° 5.625000' W,72° 45.059999' S,N/A | How about a turtle?
03_BRAVO_TO_LIMA,4,HOTEL,-65.43449998833239,-74.42566668614745,65° 26.069999' W,74° 25.540001' S,N/A | I don’t know how I know that. I took four years of Spanish.
03_BRAVO_TO_LIMA,5,INDIA,-63.017566641792655,-75.70466665551066,63° 1.053999' W,75° 42.279999' S,N/A | I am getting rid of this thing. It has caused me nothing but pride and self-respect.
03_BRAVO_TO_LIMA,6,JULIET,-58.93050002865493,-76.34150002151728,58° 55.830002' W,76° 20.490001' S,N/A | There’s not a lot of logic to it.
03_BRAVO_TO_LIMA,7,KILO,-55.37100004032254,-77.16683333739638,55° 22.260002' W,77° 10.010000' S,"N/A | Well, I hope you also carry a spare bowl of candy beans."
03_BRAVO_TO_LIMA,8,LIMA,-50.8461666572839,-78.08921668678522,50° 50.769999' W,78° 5.353001' S,N/A | Are you at all concerned about an uprising?
