route_name,sequence,designator,longitude,latitude,description
Midnight,1,BRAVO,-75.1904296875,-70.83024762385253,Start
Midnight,2,ALPHA,-75.0146484375,-69.91521433690127,End There's unlimited juice? - There's unlimited juice?
Oak,1,BRAVO,-75.1904296875,-70.83024762385253,Start
Oak,2,CHARLE,-71.4990234375,-71.76019138754775,"You're losing blood, aren't you? - You're losing blood, aren't you?"
Oak,3,DELTA,-66.09375,-72.75103864328744,How about a turtle? - How about a turtle?
Oak,4,ECHO,-61.61132812500001,-73.45347276327497,I don't criticize you! - I don't criticize you!
Oak,5,HOTEL,-65.4345703125,-74.42577748401031,I don't know how I know that. I took four years of Spanish. - I don't know how I know that. I took four years of Spanish.
Oak,6,GOLF,-70.3125,-74.20002150558591,I've always been deeply passionate about nature. 🌳 - I've always been deeply passionate about nature. 🌳
Oak,7,FOXTRT,-70.224609375,-73.17589717422607," Did Ted make an appointment? No. Well, then Ted can GET THE HELL OUT OF THIS OFFICE! YOU GET THE HELL OUT! -  Did Ted make an appointment? No. Well, then Ted can GET THE HELL OUT OF THIS OFFICE! YOU GET THE HELL OUT!"
Oak,8,CHARLE,-71.4990234375,-71.76019138754775,"You're losing blood, aren't you? - You're losing blood, aren't you?"
Oak,9,BRAVO,-75.1904296875,-70.83024762385253,End
Flattery,1,BRAVO,-75.1904296875,-70.83024762385253,Start
Flattery,2,CHARLE,-71.4990234375,-71.76019138754775,"You're losing blood, aren't you? - You're losing blood, aren't you?"
Flattery,3,DELTA,-66.09375,-72.75103864328744,How about a turtle? - How about a turtle?
Flattery,4,HOTEL,-65.4345703125,-74.42577748401031,I don't know how I know that. I took four years of Spanish. - I don't know how I know that. I took four years of Spanish.
Flattery,5,INDIA,-63.017578125,-75.70478638174052,I am getting rid of this thing. It has caused me nothing but pride and self-respect. - I am getting rid of this thing. It has caused me nothing but pride and self-respect.
Flattery,6,JULIET,-58.9306640625,-76.34152331547646,There's not a lot of logic to it. - There's not a lot of logic to it.
Flattery,7,KILO,-55.37109374999999,-77.16692692591407,"Well, I hope you also carry a spare bowl of candy beans. - Well, I hope you also carry a spare bowl of candy beans."
Flattery,8,LIMA,-50.71289062499999,-78.08922921093165,End Are you at all concerned about an uprising? - Are you at all concerned about an uprising?
